Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5282,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5275,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""currentPage"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(currentPage, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5275,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""currentPage"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(currentPage, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5271,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""take"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(take, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5271,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""take"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(take, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5267,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""skip"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(skip, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5267,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""skip"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(skip, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5205,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5205,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5200,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5200,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5181,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5179,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,bradjolicoeur.core\bradjolicoeur.core.csproj,File,bradjolicoeur.core\obj\swaggerClient.cs,5179,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
